mp4,text,Arms and Ammunition,Arms and Ammunition_pred,Crime & Harmful acts to individuals and Society and Human Right Violation,Crime & Harmful acts to individuals and Society and Human Right Violation_pred,"Death, Injury or Military Conflict","Death, Injury or Military Conflict_pred",Hate Speech & Acts of aggression,Hate Speech & Acts of aggression_pred,"Obscenity and Profanity, including language, gestures, and explicitly gory, graphic or repulsive content intended to shock and disgust","Obscenity and Profanity, including language, gestures, and explicitly gory, graphic or repulsive content intended to shock and disgust_pred",Illegal Drugs/Tobacco/e-cigarettes/Vaping/Alcohol,Illegal Drugs/Tobacco/e-cigarettes/Vaping/Alcohol_pred
a55bf111-6c4b-59df-9d62-ed8d1da6b823_0.mp4,"Okay, let's go. Sarang is excited. Do we have to stick together?",False,False,False,False,False,False,False,False,False,False,False,False
7ee68d88-b2f2-5426-9679-a94b3a3afd6c_16.mp4,"And where did you come from? Lukey, do you have something for me? Yes. We are here. The village is there. Collect as many stones as you can find and leave no one alive! We ride!",True,False,False,False,False,False,False,False,False,False,False,False
cc5b03ca-d343-5946-b716-d066aa84a9cd_4.mp4,"Come here. This is Mr. Peep. He's very sweet and crazy. It's a parrot. I read on the Internet that parrots can, in fact, eat up to their own weight in worms. You know Mr. Peep? He eats about 13 grams of food a day. But on the weekends, I spoil him and give him 15 grams. How much is that altogether? If you get it right, you can feed Mr. Peep.
Miss, why did you bring suitcases with you? Well, I'm not going home until this afternoon. You see, it's my aunt's house, but she... she... Whatever. I can live there for as long as she isn't there. Okay.",False,False,False,False,False,False,False,False,False,False,False,False
de3420b6-6932-5546-ba08-2f5dbc9af725_15.mp4,"to really go forward with this relationship, and I really want to encourage you to do that because you have five children at stake here. I'd like to see the two of you work on this relationship, but Jamar, if you keep doing what you're doing, there's no way this is going to work. You're going to have to rebuild trust, but you need to work on that in the safety of counseling, where both of you can be open and honest with each other and have a neutral third party help you to work through it, okay?
So we have a counselor here at our court. And once we finish here today, will you guys just sit down and talk with her? And then she can give you guidance on getting into couples counseling in the city where you live and helping you all to come up with a plan for moving forward with your relationship. Is that something you're both willing to do? I am. Yes, Your Honor. Yes, Your Honor. Okay, so I believe I've heard enough and I'm ready to rule in your case.
Judge Rhonda's verdict is next. Let me say this, Jamar. I think if you want to rebuild trust",False,False,False,False,False,False,False,False,False,False,False,False
5b7e863b-8fa4-5dbe-919c-3fbe222a657f_59.mp4,"Victoria, Victoria. I knew this would be hard. I just didn't know how hard. I wasn't finished. After you've forgiven your family, you ultimately have to forgive yourself. Victoria, I know that even though you did nothing wrong, you still feel shame.
You have to forgive yourself. Victoria, please. I know it can be hard to forgive. I just want you to know that when you're ready, there's somebody to help. Yeah? Where was he when all that was happening to me?",False,False,False,False,False,False,False,False,False,False,False,False
78f4a686-ca59-5d25-8837-25968cb26ab4_8.mp4,"I was gullible, I would say, growing up. I was the naive one because I feel like I was still childlike. It took me a while to stop playing with Barbies and rats while everybody else was into having sex. That was my first experience with sex. It's like I just checked out. It's almost as if I made myself
invisible to what was going on. So I vacated myself from the situation and it happened. I didn't pick up on the signs of being brushed up against my chest or rubbed up against by my
butt area and him saying it was an accident. I didn't look at it like, oh, he's touching me. I just looked at it as, oh, it's an accident because that's what he told me it was. I remember when the penetration first took place. I felt this pain, this pop, and that was when I was no longer a virgin.",False,False,False,False,False,False,False,False,False,False,False,False
15dd4f35-00d0-59f7-b738-54ace9c08728_50.mp4,"Son of a bitch.
I gotta be out of my fucking mind. What am I doing here?",False,False,False,False,False,False,False,False,False,True,False,False
ef808b76-139f-51e4-b306-5ff32c39dae9_42.mp4,No one eyes. He had them in the diamonds. What else can you say? Think. I am.,False,False,False,False,False,True,False,False,False,False,False,False
8fb3db49-a251-554d-ad85-4988bf74c6fd_1.mp4,"Sure.
Well, I don't know, Little John. It seems a long way to go just to meet a fake physician. He's no fake. All these fellas that go round the fairgrounds are fakes, Little John. He cured me, didn't he? But he didn't swallow that sword, did he? Well, why should he? I expect he's done it hundreds of times. Well, probably thousands. But anyway, if he cured you, Little John, why go all the way to Bingham today? Well, I thought I'd get a supply of that potion. It's only three pennies a bottle, you know. That sounds pretty expensive for colored water.
Colored water? The trouble with you fellas is you don't appreciate the progress that's been made in the world today. All right, Lar, but I expect you'll be glad if I serve as one of these days. I'd sooner be nursed by a witch. You would. I expect you're related to one. You'll need something for your feet as well by the time you get there. Yeah.",False,False,False,False,False,False,False,False,False,False,False,False
45e0e6de-70a1-516a-b5c3-5d3797ca175e_1.mp4,"But I have to say, it's not good. There is a consensus in the fashion world that the Berlin Fashion Week is ranked far below. Which is a shame, because I think there are a lot of young designers in Berlin who have something interesting to present, but then there are Kirian Kerner and Marcel Ostertag.
Crop tops for men. That's the thing, right? Is that so? Or was it the thing last year? It's been the thing for a long time. I only get what Fabian Riesel presents on Instagram in terms of fashion. That's my only source of fashion. That seems to be his thing this year.
We won't be ranking Fabian Rehse's Fits. Unfortunately. Unfortunately, yes. We could do that. I'd like to do a T-shirt ranking with Fabian Rehse. I wonder which one he likes the most. Probably Hertha.
Yes, but good. It's a 97 shirt, which is also a very nice shirt. I'd rather talk about this shirt for half an hour than do what we're doing now. But I wanted to say that Felix needed me to participate in the shirt ranking. I'm looking forward to it. I'm looking forward to it. If I'm in a bad mood, I'll talk about every shirt, no matter how nice it is. I'm also looking forward to it. Of course, as a friendly editorial office, like every year,
Two jerseys were rated by every runner-up. In most cases, home and away. In some cases, home and away, because the away jersey was not yet presented at the time of the vote. And Kaiserslautern and Münster only presented one at the time of the vote, which is why only the home jersey can be rated. Angsthasen. Angsthasenfußball. Fear of our judgments. 34 jerseys were released.
Various people in the editorial team, I can tell you so much, from Tim Jürgens to social media manager Charlotte Hamel, interns, online editors, everyone. Everyone voted. A cross-section of society. It was a representative survey and a representative result.
Yes, totally. In the end, we got grades from 1 to 10 or points from 1 to 10. We also do it differently every year. No, we only did it differently at the European Championship. No, no, no. I would say that this voting has been going on for 10 years. I just clicked through the last few years. In principle, we have the second, first, European Championship in Trico Ranking. What do I know? It is simply according to personal taste of the respective organizer.
But it doesn't matter. Yes, that may be. I decided for 1 to 10 this year. No, that makes it a bit more differentiated. Exactly, I didn't want it to come out so often, but still at the end 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 even have the same average score. But we'll get to that in a moment. Because 10 is wow, high fashion, haute couture.
The most fantastic T-shirt ever. And one is... Neaples cotton bread. For example. Does that count? What do you mean? That's a remake. That doesn't count. But it's pretty high. What would be a 10 for you? Any T-shirt? The 97 Hatha T-shirt, for example.
But it depends on the kind of main sponsor. There are designs where the main sponsor is embroidered with a kind of primer. I don't like that. It depends. But for me it's probably a Barcelona jersey from the late 90s. Something very clean. For me the red jersey HSV 83, in which they also won the Europa Cup, or to name a current one,
Kalithea Athene presented her jersey yesterday and it's a breaker. It's their best so far, it's a breaker. It's not the designer, it's the marketing person and he's the club president there now. Yes, but he's the one who designs and appoints the right people. That's right, he's the one who appoints this Mirko. Is that so? Yes, you met him.
And? Hello? Journalistic distance? Yes, yes. That's why it's being mentioned here. Do we still have to show the warm-up? No, no, no. I just wanted to name a T-shirt that's 10 out of 10. Okay, I don't know it yet. What is it based on? On antiquity, probably. No, no. It's classic yellow. It's in gold. Not yellow, but striped in blue.
Very classic. Of course, everyone has ten quality Athens jerseys. No, I mean classic in the sense of a classic football jersey. Here, I'll show you. So, and here we are in the shop. Well, yes, it looks chic. As always, it's not there today, because we value honest second division football. That's why all jerseys are presented by footballers in this picture gallery and not by models.",False,False,False,False,False,False,False,False,False,False,False,False
